Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        7     0.00     0.00  std::__new_allocator<HCNode*>::~__new_allocator()
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00        5     0.00     0.00  void std::_Destroy_aux<true>::__destroy<HCNode**>(HCNode**, HCNode**)
  0.00      0.00     0.00        5     0.00     0.00  void std::_Destroy<HCNode**>(HCNode**, HCNode**)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::~_Vector_base()
  0.00      0.00     0.00        4     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::~vector()
  0.00      0.00     0.00        3     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl::_Vector_impl(std::allocator<HCNode*> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_impl_data&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::vector()
  0.00      0.00     0.00        2     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  helper(HCNode*)
  0.00      0.00     0.00        1     0.00     0.00  FancyInputStream::FancyInputStream(char const*)
  0.00      0.00     0.00        1     0.00     0.00  FancyInputStream::~FancyInputStream()
  0.00      0.00     0.00        1     0.00     0.00  FancyOutputStream::flush_bitwise()
  0.00      0.00     0.00        1     0.00     0.00  FancyOutputStream::flush()
  0.00      0.00     0.00        1     0.00     0.00  FancyOutputStream::FancyOutputStream(char const*)
  0.00      0.00     0.00        1     0.00     0.00  FancyOutputStream::~FancyOutputStream()
  0.00      0.00     0.00        1     0.00     0.00  HCTree::build(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00        1     0.00     0.00  HCTree::HCTree()
  0.00      0.00     0.00        1     0.00     0.00  HCTree::~HCTree()
  0.00      0.00     0.00        1     0.00     0.00  FancyInputStream::filesize() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::get_allocator() const
  0.00      0.00     0.00        1     0.00     0.00  std::fpos<__mbstate_t>::operator long() const
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_base(std::allocator<HCNode*> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<HCNode*, std::allocator<HCNode*> >::_Vector_base(unsigned long, std::allocator<HCNode*> const&)
